seq,secs,nsecs,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,time
17401,1614000088,888044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000088.88804
17402,1614000088,948044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000088.94804
17403,1614000089,8044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.00804
17404,1614000089,68044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.06804
17405,1614000089,128044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.12804
17406,1614000089,188044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.18804
17407,1614000089,248044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.24804
17408,1614000089,308044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.30804
17409,1614000089,368044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.36804
17410,1614000089,428044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.42804
17411,1614000089,488044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.48804
17412,1614000089,548044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.54804
17413,1614000089,608044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.60804
17414,1614000089,668044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.66804
17415,1614000089,728044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.72804
17416,1614000089,788044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.78804
17417,1614000089,848044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.84804
17418,1614000089,908044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.90804
17419,1614000089,968044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000089.96804
17420,1614000090,28044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.02804
17421,1614000090,88044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.08804
17422,1614000090,148044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.14804
17423,1614000090,208044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.20804
17424,1614000090,268044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.26804
17425,1614000090,328044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.32804
17426,1614000090,388044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.38804
17427,1614000090,448044118,1.90603792667,1.67363870144,0,0,0,-0.87768463638,0.47923864521,1614000090.44804
