time,speed,distance,x,y,uwb_x,uwb_y,time_in_sec
2021-04-21 10:55:17,0.5,2,3.1099999999999999,2.3199999999999998,3.16,2.29,1618995320.004871
2021-04-21 10:55:17,0.5,2,3.1600000000000001,2.29,3.28,2.27,1618995320.116417
2021-04-21 10:55:17,0.5,2,3.2799999999999998,2.27,3.37,2.26,1618995320.328295
2021-04-21 10:55:17,0.5,2,3.46,2.21,3.54,2.15,1618995320.597988
2021-04-21 10:55:17,0.5,2,3.54,2.1499999999999999,3.61,2.14,1618995320.714083
2021-04-21 10:55:17,0.5,2,3.6099999999999999,2.1400000000000001,3.67,2.12,1618995320.887832
2021-04-21 10:55:17,0.5,2,3.6899999999999999,2.1899999999999999,3.73,2.21,1618995321.026391
2021-04-21 10:55:17,0.5,2,3.7400000000000002,2.25,3.84,2.3,1618995321.19874
2021-04-21 10:55:21,0.5,2,4.0,2.3100000000000001,4.01,2.32,1618995321.750478
2021-04-21 10:55:21,0.5,2,4.0499999999999998,2.3199999999999998,4.07,2.3,1618995321.901349
2021-04-21 10:55:21,0.5,2,4.0899999999999999,2.3100000000000001,4.11,2.3,1618995322.124663
2021-04-21 10:55:21,0.5,2,4.0700000000000003,2.3100000000000001,3.95,2.31,1618995322.403773
2021-04-21 10:55:21,0.5,2,3.8999999999999999,2.3300000000000001,3.9,2.25,1618995322.794441
2021-04-21 10:55:21,0.5,2,3.8999999999999999,2.1699999999999999,3.79,2.18,1618995323.028729
2021-04-21 10:55:21,0.5,2,3.79,2.1800000000000002,3.67,2.19,1618995323.275311
2021-04-21 10:55:21,0.5,2,3.6099999999999999,2.2000000000000002,3.61,2.2,1618995323.515897
2021-04-21 10:55:21,0.5,2,3.6099999999999999,2.2000000000000002,3.56,2.2,1618995323.583007
2021-04-21 10:55:21,0.5,2,3.5099999999999998,2.2000000000000002,3.4,2.22,1618995323.718833
2021-04-21 10:55:21,0.5,2,3.3999999999999999,2.2200000000000002,3.28,2.25,1618995323.914399
2021-04-21 10:55:21,0.5,2,3.2799999999999998,2.25,3.21,2.28,1618995324.167519
2021-04-21 10:55:21,0.5,2,3.21,2.2799999999999998,3.09,2.33,1618995324.265031
2021-04-21 10:55:21,0.5,2,3.0899999999999999,2.3300000000000001,3.01,2.32,1618995324.483515
2021-04-21 10:55:21,0.5,2,3.0099999999999998,2.3199999999999998,2.93,2.31,1618995324.619456
2021-04-21 10:55:21,0.5,2,2.9300000000000002,2.3100000000000001,2.81,2.34,1618995324.881302
2021-04-21 10:55:21,0.5,2,2.8100000000000001,2.3399999999999999,2.68,2.4,1618995325.081331
2021-04-21 10:55:21,0.5,2,2.6800000000000002,2.3999999999999999,2.62,2.42,1618995325.235629
2021-04-21 10:55:21,0.5,2,2.6200000000000001,2.4199999999999999,2.49,2.46,1618995325.389764
2021-04-21 10:55:21,0.5,2,2.4900000000000002,2.46,2.43,2.46,1618995325.562276
2021-04-21 10:55:21,0.5,2,2.3599999999999999,2.4700000000000002,2.27,2.44,1618995325.705729
2021-04-21 10:55:21,0.5,2,2.27,2.4399999999999999,2.18,2.44,1618995325.979734
2021-04-21 10:55:26,0.5,2,2.1800000000000002,2.3700000000000001,2.06,2.4,1618995326.287425
2021-04-21 10:55:26,0.5,2,2.0600000000000001,2.3999999999999999,1.96,2.44,1618995326.419191
2021-04-21 10:55:26,0.5,2,1.96,2.4399999999999999,1.9,2.46,1618995326.648126
2021-04-21 10:55:26,0.5,2,1.8999999999999999,2.46,1.91,2.44,1618995326.814765
2021-04-21 10:55:26,0.5,2,1.9099999999999999,2.4399999999999999,1.95,2.39,1618995326.946433
2021-04-21 10:55:26,0.5,2,1.98,2.3900000000000001,2.04,2.39,1618995327.165649
2021-04-21 10:55:26,0.5,2,2.04,2.3900000000000001,2.06,2.4,1618995327.318512
2021-04-21 10:55:26,0.5,2,2.0600000000000001,2.3999999999999999,2.08,2.42,1618995327.420644
2021-04-21 10:55:26,0.5,2,2.0800000000000001,2.4199999999999999,2.13,2.43,1618995327.582532
2021-04-21 10:55:26,0.5,2,2.1699999999999999,2.4399999999999999,2.19,2.46,1618995327.717613
2021-04-21 10:55:26,0.5,2,2.1899999999999999,2.46,2.23,2.46,1618995327.88029
2021-04-21 10:55:26,0.5,2,2.23,2.46,2.3,2.45,1618995327.984405
2021-04-21 10:55:26,0.5,2,2.2999999999999998,2.4500000000000002,2.3,2.45,1618995328.059653
2021-04-21 10:55:26,0.5,2,2.2999999999999998,2.4500000000000002,2.3,2.45,1618995328.232737
2021-04-21 10:55:26,0.5,2,2.2999999999999998,2.4500000000000002,2.3,2.45,1618995328.387013
2021-04-21 10:55:26,0.5,2,2.2999999999999998,2.4500000000000002,2.3,2.45,1618995328.59291
